Designator,Mid X,Mid Y,Rotation,Layer
BT1,164.5,-73.5,0.0,top
D1,131.23,-79.0,0.0,top
D2,131.23,-87.0,0.0,top
D3,143.73,-79.5,0.0,top
D4,143.73,-87.0,0.0,top
M1,135.0,-121.77,180.0,top
Q1,126.77,-66.0,0.0,top
Q2,120.27,-70.5,0.0,top
Q3,143.0,-59.0,180.0,top
Q4,133.77,-63.5,0.0,top
Q5,113.27,-74.5,180.0,top
Q6,154.5,-61.0,0.0,top
R1,140.31,-106.0,0.0,top
R10,108.19,-94.5,0.0,top
R11,113.81,-105.0,180.0,top
R12,118.81,-110.5,180.0,top
R13,111.19,-82.0,0.0,top
R14,130.69,-72.0,180.0,top
R15,108.31,-100.5,180.0,top
R16,120.5,-83.19,90.0,top
R17,156.0,-90.19,90.0,top
R2,130.69,-111.0,0.0,top
R3,121.19,-117.0,0.0,top
R4,154.81,-105.0,0.0,top
R5,162.5,-100.5,0.0,top
R6,162.69,-88.0,0.0,top
R7,165.19,-94.5,0.0,top
R8,108.69,-87.5,0.0,top
R9,144.69,-71.5,180.0,top
SW1,120.75,-94.75,0.0,top
SW2,131.75,-97.75,0.0,top
SW3,143.25,-97.75,0.0,top
